1	0	2454508.976854460	0.0002	1	Hebb et al 2008
2	300	2454836.4033931005	0.0006	2	Hentunen
5	304	2454840.7686030436	0.00047	1	Tucker et al. 2011
6	304	2454840.771193043	0.001	3	Gary
11	366	2454908.437992057	0.001	3	Naves
13	387	2454931.3581816694	0.00098	3	Brát L.
16	601	2455164.923956134	0.00149	3	Shadick S.
17	601	2455164.9243161334	0.00129	3	Stan Shadick
18	608	2455172.561815919	0.00044	1	Tucker et al. 2011
19	608	2455172.562785919	0.00014	1	Ingemyr M.
21	632	2455198.756735166	0.00141	3	Tieman B.
23	661	2455230.4067300046	0.00011	1	Maciejewski et al. 2011
25	683	2455254.418869997	0.00014	1	Maciejewski et al. 2011
26	685	2455256.596033418	0.00059	3	Latham C., Schwieterman E.
28	693	2455265.3340531443	0.00129	3	Kučáková H.
31	914	2455506.533284860	0.00112	3	Naves R.
32	917	2455509.808914742	0.00087	3	Dvorak S.
33	926	2455519.632074388	0.0007	2	Naves R.
34	938	2455532.729963918	0.00035	1	Irwin S.
36	946	2455541.461083606	0.0005	2	Zambelli R.
38	978	2455576.387242368	0.00135	3	Ayiomamitis A.
39	979	2455577.4751723297	0.00038	2	Garcia R.
40	979	2455577.4767823294	0.00069	2	Naves R.
41	979	2455577.4771123296	0.00085	3	Salvaggio F., Marino G. 
42	980	2455578.5684222914	0.00082	3	Poddaný S.
44	994	2455593.850191754	0.00047	2	Stan Shadick and Hao He
48	1000	2455600.398281524	0.00042	1	Cagas P.
50	1001	2455601.4892114857	0.00109	3	Brát L.
51	1003	2455603.671161409	0.00094	3	Griffith J., Condon I.
53	1011	2455612.4008011026	0.00083	3	Karashevich S. V., Sokov E. N.
54	1011	2455612.4013211024	0.00078	3	Sokov E. N.
55	1014	2455615.675910987	0.00054	2	E.Rich, S.Irwin
56	1043	2455647.3287598747	0.00173	3	Zinoviev S. , Sokov E.
58	1236	2455857.9737826996	0.00071	2	Shadic S.
59	1236	2455857.9737826996	0.00071	2	Shadic S.
61	1245	2455867.7978323917	0.00075	3	Shadic S.
63	1250	2455873.2536122217	0.00126	3	Ivanov K.
64	1254	2455877.618482087	0.00092	3	Hoeven A.
65	1254	2455877.6191620864	0.00129	3	Hoeven A.
67	1265	2455889.623301718	0.00073	3	Naves R.
68	1274	2455899.4484414198	0.00063	2	Ayiomamitis A.
69	1274	2455899.4512514197	0.00057	3	Romas E., Sokov E.
70	1275	2455900.539781387	0.00038	2	Romas E., Sokov E.
72	1279	2455904.9052712554	0.00103	3	Stan Shadick
73	1280	2455905.995241223	0.00135	3	Shadic S.
75	1286	2455912.5445610285	0.00057	2	Romas E., Sokov E.
76	1286	2455912.5445610285	0.00057	2	Romas E., Sokov E.
77	1287	2455913.636130995	0.00078	2	Lopesino J.
78	1288	2455914.7267409633	0.00047	2	Shadic S.
80	1295	2455922.370120738	0.0009	3	Sokov E. N.
82	1301	2455928.913320548	0.00073	3	Shadic S.
83	1308	2455936.5525603276	0.00091	3	Naves R.
84	1308	2455936.561520327	0.00123	3	Lopesino J.
85	1309	2455937.6454302957	0.00119	3	Naves R.
86	1310	2455938.738730265	0.00072	3	Shadic S.
87	1317	2455946.383030047	0.00077	2	Ruben Garcia
88	1318	2455947.4684800166	0.00102	3	Naves R.
89	1320	2455949.650899955	0.00059	3	Shadic S.
90	1320	2455949.650899955	0.00059	3	Shadic S.
91	1321	2455950.7425099243	0.00066	2	Stan Shadick
92	1327	2455957.2875997415	0.0011	3	Lomoz F.
93	1327	2455957.294399741	0.00104	3	Lomoz F.
94	1327	2455957.296779741	0.00057	2	Eugene Sokov
95	1327	2455957.296779741	0.00057	2	Sokov E. N.
97	1331	2455961.659129620	0.00107	3	Shadic S.
98	1332	2455962.749929590	0.00132	3	Shadic S.
100	1339	2455970.392369380	0.00086	3	Ivanov A. V., Sokov E. N.
102	1350	2455982.394919057	0.00116	3	Aceti P.
103	1360	2455993.3098687683	0.0006	2	Rusov S., Sokov E.
104	1360	2455993.3131187684	0.00076	3	Kouprianov V.V., Sokov E. N.
105	1361	2455994.3987187403	0.00068	2	Marchini A.
106	1361	2455994.399358740	0.00076	3	Sokov E. N.
107	1369	2456003.129688514	0.00063	2	Ivanov K.
108	1369	2456003.130168514	0.0006	2	Ivanov K.
110	1371	2456005.3153284574	0.00044	2	Romas E., Sokov E.
114	1570	2456222.5096953874	0.00081	3	Rusov S., Sokov E.
115	1592	2456246.516835025	0.00074	3	Ivanov A. V., Sokov E. N.
